SEXO; NUM_HIJOS; ANNO_ANTIGUEDAD; SBA_IMPORTE; NUM_CURSOS; EVP_NUM; DESEMPENNO
1;0;39;40000;2;2.7;1
1;0;40;40000;2;2.7;1
1;0;41;40000;0;0;1
0;0;31;23000;2;2.7;1
0;0;32;23000;2;2.7;1
0;0;33;23000;2;2.7;1
0;0;34;23000;0;0;1
0;0;35;23000;0;0;1
1;0;29;46000;2;5.2;1
1;0;30;46000;2;5.2;1
1;0;31;46000;2;5.2;1
1;0;32;46000;0;1.25;1
1;0;33;46000;0;2.5;1
1;1;29;40000;2;5.2;1
1;0;30;40000;2;2.7;1
1;0;31;40000;2;2.7;1
1;0;32;40000;0;0;1
1;0;33;40000;0;0;1
1;0;40;40000;2;2.7;1
1;0;41;40000;2;2.7;1
1;0;42;40000;2;2.7;1
1;0;28;23000;2;3.95;1
1;0;29;23000;2;3.95;1
1;0;30;23000;2;3.95;1
1;0;31;23000;0;0;1
1;0;32;40000;0;4.8;1
1;1;28;23000;2;7.7;1
1;1;29;23000;2;7.7;1
1;1;30;23000;2;6.45;1
1;1;31;23000;0;3.75;1
1;1;32;23000;0;3.75;1
1;0;27;23000;2;5.2;1
1;0;28;40000;2;7.5;1
1;0;29;40000;2;5.2;1
1;0;30;40000;0;2.5;1
1;0;31;40000;1;2.6;1
0;0;30;23000;2;2.7;1
0;0;31;23000;2;2.7;1
0;0;32;23000;2;2.7;1
0;0;33;23000;0;0;1
0;0;34;23000;0;0;1
1;0;27;0;2;2.7;1
1;0;28;0;2;2.7;1
1;0;29;0;2;2.7;1
1;0;30;0;0;0;1
1;2;25;0;2;5.2;1
1;2;26;0;2;5.2;1
1;2;27;0;2;5.2;1
1;2;28;0;0;2.5;1
1;2;29;0;0;2.5;1
0;0;29;23000;2;5.2;1
0;0;30;23000;2;5.2;1
0;0;31;23000;2;5.2;1
0;0;32;23000;0;1.25;1
0;0;33;23000;0;1.25;1
0;0;28;23000;2;5.2;1
0;0;29;23000;2;3.95;1
0;0;30;23000;2;3.95;1
0;0;31;23000;0;1.25;1
0;0;32;23000;0;0;1
0;0;25;23000;2;3.95;1
0;0;26;23000;2;2.7;1
0;0;27;23000;2;5.2;1
0;0;28;23000;0;2.5;1
0;0;29;23000;0;2.5;1
1;0;38;0;2;2.7;1
1;0;39;44000;2;5.2;1
1;0;40;44000;2;5.2;1
1;0;41;44000;0;2.5;1
1;0;42;44000;1;2.6;1
1;0;24;23000;2;3.95;1
1;0;25;23000;2;3.95;1
1;0;26;23000;2;3.95;1
1;0;27;23000;0;0;1
1;0;28;23000;0;0;1
1;1;24;46000;2;6.45;1
1;1;25;46000;2;5.2;1
1;0;26;46000;2;2.7;1
1;0;27;46000;0;0;1
1;0;28;40000;0;2.5;1
1;1;24;48000;2;7.7;1
1;1;25;48000;2;7.7;1
1;1;26;48000;2;5.2;1
1;0;27;21000;0;2.5;0
1;0;28;21000;0;0;1
1;2;23;23000;2;7.7;1
1;2;24;23000;2;6.45;1
1;2;25;23000;2;6.45;1
1;2;26;23000;0;3.75;1
1;2;27;23000;0;2.5;1
1;2;25;0;2;5.2;1
1;2;26;0;2;5.2;1
1;1;27;23000;2;7.7;1
1;1;28;23000;0;5;1
1;1;29;23000;0;5;1
1;0;22;46000;2;5.2;1
1;0;23;46000;2;5.2;1
1;0;24;46000;2;5.2;1
1;0;25;46000;0;1.25;1
1;0;26;46000;0;1.25;1
1;0;21;23000;2;5.2;1
1;0;22;23000;2;3.95;1
1;0;23;23000;2;3.95;1
1;0;24;23000;0;1.25;1
1;0;25;23000;0;0;1
0;1;21;40000;2;7.7;1
0;1;22;40000;2;7.7;1
0;1;23;40000;2;7.7;1
0;1;24;40000;0;3.75;1
0;0;25;40000;0;1.25;1
1;2;21;23000;2;6.45;1
1;2;22;23000;2;6.45;1
1;1;23;23000;2;6.45;1
1;1;24;23000;0;2.5;1
1;1;25;23000;0;2.5;1
1;2;21;23000;2;5.2;0
1;2;22;23000;2;5.2;1
1;1;23;23000;2;5.2;1
1;1;24;23000;0;2.5;1
1;1;25;23000;0;2.5;1
1;2;21;41000;2;5.2;1
1;2;22;21000;2;7.7;1
1;1;23;21000;2;7.7;1
1;1;24;21000;0;2.5;1
1;1;25;46000;0;7.3;1
0;0;21;23000;2;2.7;1
0;0;22;23000;2;2.7;1
0;0;23;23000;2;2.7;1
0;0;24;23000;0;0;1
0;0;25;23000;0;2.5;1
1;0;20;40000;2;2.7;1
1;0;21;40000;2;2.7;0
1;0;22;40000;2;2.7;1
1;0;23;40000;0;0;0
1;0;24;40000;0;0;1
1;0;23;40000;2;5.2;1
